m_value,M_value,L_value,g_value,d_value,b_value,theta_cmd,theta_0,thetadot_cmd,theta_dot_0,F_value,t0
0,0,0,0,0,0,0,0.072615,0,-0.068776,-0.327855,2.942943
0,0,0,0,0,0,0,0.071929,0,-0.068144,-0.32475,2.952953
0,0,0,0,0,0,0,0.07125,0,-0.067516,-0.321674,2.962963
0,0,0,0,0,0,0,0.070578,0,-0.066895,-0.318626,2.972973
0,0,0,0,0,0,0,0.069911,0,-0.066279,-0.315606,2.982983
0,0,0,0,0,0,0,0.069251,0,-0.065669,-0.312614,2.992993
0,0,0,0,0,0,0,0.068596,0,-0.065064,-0.30965,3.003003
0,0,0,0,0,0,0,0.067948,0,-0.064465,-0.306714,3.013013
0,0,0,0,0,0,0,0.067306,0,-0.063871,-0.303804,3.023023
0,0,0,0,0,0,0,0.066669,0,-0.063283,-0.300921,3.033033
0,0,0,0,0,0,0,0.066039,0,-0.0627,-0.298065,3.043043
0,0,0,0,0,0,0,0.065414,0,-0.062122,-0.295235,3.053053
0,0,0,0,0,0,0,0.064795,0,-0.061549,-0.292432,3.063063
0,0,0,0,0,0,0,0.064182,0,-0.060982,-0.289654,3.073073
0,0,0,0,0,0,0,0.063574,0,-0.06042,-0.286902,3.083083
0,0,0,0,0,0,0,0.062972,0,-0.059863,-0.284175,3.093093
0,0,0,0,0,0,0,0.062376,0,-0.059311,-0.281474,3.103103
0,0,0,0,0,0,0,0.061785,0,-0.058764,-0.278797,3.113113
0,0,0,0,0,0,0,0.061199,0,-0.058222,-0.276146,3.123123
0,0,0,0,0,0,0,0.060619,0,-0.057685,-0.273518,3.133133
0,0,0,0,0,0,0,0.060044,0,-0.057153,-0.270916,3.143143
0,0,0,0,0,0,0,0.059475,0,-0.056626,-0.268337,3.153153
0,0,0,0,0,0,0,0.058911,0,-0.056103,-0.265782,3.163163
0,0,0,0,0,0,0,0.058352,0,-0.055585,-0.263251,3.173173
0,0,0,0,0,0,0,0.057798,0,-0.055072,-0.260743,3.183183
0,0,0,0,0,0,0,0.057249,0,-0.054564,-0.258258,3.193193
0,0,0,0,0,0,0,0.056705,0,-0.05406,-0.255796,3.203203
0,0,0,0,0,0,0,0.056167,0,-0.053561,-0.253357,3.213213
0,0,0,0,0,0,0,0.055633,0,-0.053066,-0.250941,3.223223
0,0,0,0,0,0,0,0.055104,0,-0.052576,-0.248547,3.233233
0,0,0,0,0,0,0,0.054581,0,-0.052091,-0.246175,3.243243
0,0,0,0,0,0,0,0.054062,0,-0.051609,-0.243826,3.253253
0,0,0,0,0,0,0,0.053547,0,-0.051133,-0.241498,3.263263
0,0,0,0,0,0,0,0.053038,0,-0.05066,-0.239191,3.273273
0,0,0,0,0,0,0,0.052533,0,-0.050192,-0.236906,3.283283
0,0,0,0,0,0,0,0.052033,0,-0.049728,-0.234642,3.293293
0,0,0,0,0,0,0,0.051538,0,-0.049268,-0.232399,3.303303
0,0,0,0,0,0,0,0.051047,0,-0.048813,-0.230177,3.313313
0,0,0,0,0,0,0,0.05056,0,-0.048362,-0.227975,3.323323
0,0,0,0,0,0,0,0.050078,0,-0.047914,-0.225794,3.333333
0,0,0,0,0,0,0,0.049601,0,-0.047471,-0.223633,3.343343
